"växthusgas","sektor","2017"
"Totala Växthusgaser (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",52715.0
"Totala Växthusgaser (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",62940.4
"Totala Växthusgaser (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",9647.2
"Totala Växthusgaser (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",19872.6
"Totala Växthusgaser (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",3302.7
"Totala Växthusgaser (kt CO2-ekv.)","AVFALL, TOTALT",1322.5
"Totala Växthusgaser (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",4543.9
"Totala Växthusgaser (kt CO2-ekv.)","INDUSTRI, TOTALT",17034.8
"Totala Växthusgaser (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",16860.6
"Totala Växthusgaser (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",10225.4
"Totala Växthusgaser (kt CO2-ekv.)","JORDBRUK, TOTALT",7029.5
"Totala Växthusgaser (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",1695.2
"Totala Växthusgaser (kt CO2-ekv.)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",925.8
"Totala Växthusgaser (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",-43067.9
"Koldioxid (CO2) (kt)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",42306.8
"Koldioxid (CO2) (kt)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",52374.4
"Koldioxid (CO2) (kt)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",-2441.8
"Koldioxid (CO2) (kt)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",7625.8
"Koldioxid (CO2) (kt)","ARBETSMASKINER, TOTALT",3251.7
"Koldioxid (CO2) (kt)","AVFALL, TOTALT",127.5
"Koldioxid (CO2) (kt)","EL OCH FJÄRRVÄRME, TOTALT",4253.7
"Koldioxid (CO2) (kt)","INDUSTRI, TOTALT",16632.5
"Koldioxid (CO2) (kt)","INRIKES TRANSPORTER, TOTALT",16686.2
"Koldioxid (CO2) (kt)","UTRIKES TRANSPORTER, TOTALT",10067.6
"Koldioxid (CO2) (kt)","JORDBRUK, TOTALT",127.5
"Koldioxid (CO2) (kt)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",447.0
"Koldioxid (CO2) (kt)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",780.7
"Koldioxid (CO2) (kt)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",-44748.6
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",32743.6
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",32743.6
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",32743.6
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",32743.6
"Biogen koldioxid (CO2) från bränslen (kt)","ARBETSMASKINER, TOTALT",947.4
"Biogen koldioxid (CO2) från bränslen (kt)","AVFALL, TOTALT",29.9
"Biogen koldioxid (CO2) från bränslen (kt)","EL OCH FJÄRRVÄRME, TOTALT",15719.5
"Biogen koldioxid (CO2) från bränslen (kt)","INDUSTRI, TOTALT",7120.5
"Biogen koldioxid (CO2) från bränslen (kt)","INRIKES TRANSPORTER, TOTALT",3904.8
"Biogen koldioxid (CO2) från bränslen (kt)","UTRIKES TRANSPORTER, TOTALT",..
"Biogen koldioxid (CO2) från bränslen (kt)","JORDBRUK, TOTALT",..
"Biogen koldioxid (CO2) från bränslen (kt)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",..
"Biogen koldioxid (CO2) från bränslen (kt)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",5021.6
"Biogen koldioxid (CO2) från bränslen (kt)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..
"Metan (CH4) (t)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",178819.6
"Metan (CH4) (t)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",178886.6
"Metan (CH4) (t)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",196537.9
"Metan (CH4) (t)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",196604.9
"Metan (CH4) (t)","ARBETSMASKINER, TOTALT",384.4
"Metan (CH4) (t)","AVFALL, TOTALT",38318.3
"Metan (CH4) (t)","EL OCH FJÄRRVÄRME, TOTALT",1816.3
"Metan (CH4) (t)","INDUSTRI, TOTALT",3692.4
"Metan (CH4) (t)","INRIKES TRANSPORTER, TOTALT",800.6
"Metan (CH4) (t)","UTRIKES TRANSPORTER, TOTALT",67.0
"Metan (CH4) (t)","JORDBRUK, TOTALT",131242.3
"Metan (CH4) (t)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",..
"Metan (CH4) (t)","UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",2565.4
